size,cores,time 1,impl,,,,,size,impl,time 1,time 2,time 4,time 8,time 10,time 12,time 14,,
900,1,0.82,0,,,,,900,0,0.82,0.61,0.56,0.55,0.53,0.53,0.54,,
1000,1,1.04,0,,,,,1000,0,1.04,0.78,0.72,0.7,0.68,0.69,0.69,,
1100,1,1.29,0,,,,,1100,0,1.29,0.97,0.89,0.87,0.85,0.85,0.86,,
1200,1,1.56,0,,,,,1200,0,1.56,1.17,1.07,1.05,1.03,1.03,1.04,,
1300,1,1.85,0,,,,,1300,0,1.85,1.39,1.28,1.25,1.22,1.23,1.24,,
1400,1,2.17,0,,,,,1400,0,2.17,1.63,1.5,1.47,1.44,1.44,1.46,,
1500,1,2.5,0,,,,,1500,0,2.5,1.88,1.73,1.69,1.66,1.66,1.68,,
1800,1,3.74,0,,,,,1800,0,3.74,2.82,2.59,2.53,2.48,2.49,2.51,,
2300,1,7.87,0,,,,,2300,0,7.87,5.91,5.43,5.31,5.21,5.23,5.28,,
2500,1,9.39,0,,,,,2500,0,9.39,7.06,6.48,6.34,6.22,6.24,6.31,,
3000,1,13.98,0,,,,,3000,0,13.98,10.52,9.66,9.45,9.26,9.3,9.41,,
3200,1,18.83,0,,,,,3200,0,18.83,14.17,13.01,12.73,12.48,12.53,12.67,,
3600,1,24.44,0,,,,,3600,0,24.44,18.4,16.89,16.53,16.21,16.27,16.45,,
3800,1,27.28,0,,,,,3800,0,27.28,20.54,18.88,18.47,18.12,18.17,18.38,,
4200,1,39.73,0,,,,,4200,0,39.73,29.88,27.4,26.84,26.29,26.4,26.69,,
4500,1,46.22,0,,,,,4500,0,46.22,34.74,31.89,31.24,30.61,30.75,31.08,,
,,,,,,,,,,,,,,,,,,
size,cores,time 2,impl,,,,,,,,,,,,,,,
900,2,0.61,0,,,,,,,,,,,,,,,
1000,2,0.78,0,,,,,,,,,,,,,,,
1100,2,0.97,0,,,,,,,,,,,,,,,
1200,2,1.17,0,,,,,,,,,,,,,,,
1300,2,1.39,0,,,,,,,,,,,,,,,
1400,2,1.63,0,,,,,,,,,,,,,,,
1500,2,1.88,0,,,,,,,,,,,,,,,
1800,2,2.82,0,,,,,,,,,,,,,,,
2300,2,5.91,0,,,,,,,,,,,,,,,
2500,2,7.06,0,,,,,,,,,,,,,,,
3000,2,10.52,0,,,,,,,,,,,,,,,
3200,2,14.17,0,,,,,,,,,,,,,,,
3600,2,18.4,0,,,,,,,,,,,,,,,
3800,2,20.54,0,,,,,,,,,,,,,,,
4200,2,29.88,0,,,,,,,,,,,,,,,
4500,2,34.74,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 4,impl,,,,,,,,,,,,,,,
900,4,0.56,0,,,,,,,,,,,,,,,
1000,4,0.72,0,,,,,,,,,,,,,,,
1100,4,0.89,0,,,,,,,,,,,,,,,
1200,4,1.07,0,,,,,,,,,,,,,,,
1300,4,1.28,0,,,,,,,,,,,,,,,
1400,4,1.5,0,,,,,,,,,,,,,,,
1500,4,1.73,0,,,,,,,,,,,,,,,
1800,4,2.59,0,,,,,,,,,,,,,,,
2300,4,5.43,0,,,,,,,,,,,,,,,
2500,4,6.48,0,,,,,,,,,,,,,,,
3000,4,9.66,0,,,,,,,,,,,,,,,
3200,4,13.01,0,,,,,,,,,,,,,,,
3600,4,16.89,0,,,,,,,,,,,,,,,
3800,4,18.88,0,,,,,,,,,,,,,,,
4200,4,27.4,0,,,,,,,,,,,,,,,
4500,4,31.89,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 8,impl,,,,,,,,,,,,,,,
900,8,0.55,0,,,,,,,,,,,,,,,
1000,8,0.7,0,,,,,,,,,,,,,,,
1100,8,0.87,0,,,,,,,,,,,,,,,
1200,8,1.05,0,,,,,,,,,,,,,,,
1300,8,1.25,0,,,,,,,,,,,,,,,
1400,8,1.47,0,,,,,,,,,,,,,,,
1500,8,1.69,0,,,,,,,,,,,,,,,
1800,8,2.53,0,,,,,,,,,,,,,,,
2300,8,5.31,0,,,,,,,,,,,,,,,
2500,8,6.34,0,,,,,,,,,,,,,,,
3000,8,9.45,0,,,,,,,,,,,,,,,
3200,8,12.73,0,,,,,,,,,,,,,,,
3600,8,16.53,0,,,,,,,,,,,,,,,
3800,8,18.47,0,,,,,,,,,,,,,,,
4200,8,26.84,0,,,,,,,,,,,,,,,
4500,8,31.24,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 10,impl,,,,,,,,,,,,,,,
900,10,0.53,0,,,,,,,,,,,,,,,
1000,10,0.68,0,,,,,,,,,,,,,,,
1100,10,0.85,0,,,,,,,,,,,,,,,
1200,10,1.03,0,,,,,,,,,,,,,,,
1300,10,1.22,0,,,,,,,,,,,,,,,
1400,10,1.44,0,,,,,,,,,,,,,,,
1500,10,1.66,0,,,,,,,,,,,,,,,
1800,10,2.48,0,,,,,,,,,,,,,,,
2300,10,5.21,0,,,,,,,,,,,,,,,
2500,10,6.22,0,,,,,,,,,,,,,,,
3000,10,9.26,0,,,,,,,,,,,,,,,
3200,10,12.48,0,,,,,,,,,,,,,,,
3600,10,16.21,0,,,,,,,,,,,,,,,
3800,10,18.12,0,,,,,,,,,,,,,,,
4200,10,26.29,0,,,,,,,,,,,,,,,
4500,10,30.61,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 12,impl,,,,,,,,,,,,,,,
900,12,0.53,0,,,,,,,,,,,,,,,
1000,12,0.69,0,,,,,,,,,,,,,,,
1100,12,0.85,0,,,,,,,,,,,,,,,
1200,12,1.03,0,,,,,,,,,,,,,,,
1300,12,1.23,0,,,,,,,,,,,,,,,
1400,12,1.44,0,,,,,,,,,,,,,,,
1500,12,1.66,0,,,,,,,,,,,,,,,
1800,12,2.49,0,,,,,,,,,,,,,,,
2300,12,5.23,0,,,,,,,,,,,,,,,
2500,12,6.24,0,,,,,,,,,,,,,,,
3000,12,9.3,0,,,,,,,,,,,,,,,
3200,12,12.53,0,,,,,,,,,,,,,,,
3600,12,16.27,0,,,,,,,,,,,,,,,
3800,12,18.17,0,,,,,,,,,,,,,,,
4200,12,26.4,0,,,,,,,,,,,,,,,
4500,12,30.75,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 14,impl,,,,,,,,,,,,,,,
900,14,0.54,0,,,,,,,,,,,,,,,
1000,14,0.69,0,,,,,,,,,,,,,,,
1100,14,0.86,0,,,,,,,,,,,,,,,
1200,14,1.04,0,,,,,,,,,,,,,,,
1300,14,1.24,0,,,,,,,,,,,,,,,
1400,14,1.46,0,,,,,,,,,,,,,,,
1500,14,1.68,0,,,,,,,,,,,,,,,
1800,14,2.51,0,,,,,,,,,,,,,,,
2300,14,5.28,0,,,,,,,,,,,,,,,
2500,14,6.31,0,,,,,,,,,,,,,,,
3000,14,9.41,0,,,,,,,,,,,,,,,
3200,14,12.67,0,,,,,,,,,,,,,,,
3600,14,16.45,0,,,,,,,,,,,,,,,
3800,14,18.38,0,,,,,,,,,,,,,,,
4200,14,26.69,0,,,,,,,,,,,,,,,
4500,14,31.08,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 1,impl,,,,,size,impl,time 1,time 2,time 4,time 8,time 10,time 12,time 14,,
900,1,0.82,1,,,,,900,1,0.82,0.61,0.54,0.53,0.53,0.52,0.52,,
1000,1,1.04,1,,,,,1000,1,1.04,0.78,0.7,0.68,0.67,0.67,0.67,,
1100,1,1.29,1,,,,,1100,1,1.29,0.97,0.87,0.84,0.84,0.84,0.84,,
1200,1,1.56,1,,,,,1200,1,1.56,1.17,1.05,1.02,1.02,1.01,1.01,,
1300,1,1.85,1,,,,,1300,1,1.85,1.39,1.25,1.21,1.21,1.21,1.21,,
1400,1,2.17,1,,,,,1400,1,2.17,1.63,1.47,1.43,1.42,1.42,1.42,,
1500,1,2.5,1,,,,,1500,1,2.5,1.88,1.7,1.65,1.64,1.64,1.64,,
1800,1,3.74,1,,,,,1800,1,3.74,2.82,2.53,2.46,2.45,2.45,2.45,,
2300,1,7.86,1,,,,,2300,1,7.86,5.91,5.32,5.17,5.15,5.15,5.15,,
2500,1,9.4,1,,,,,2500,1,9.4,7.06,6.36,6.17,6.15,6.15,6.14,,
3000,1,13.98,1,,,,,3000,1,13.98,10.52,9.47,9.2,9.17,9.16,9.16,,
3200,1,18.82,1,,,,,3200,1,18.82,14.18,12.75,12.38,12.35,12.34,12.33,,
3600,1,24.46,1,,,,,3600,1,24.46,18.39,16.57,16.08,16.05,16.03,16.03,,
3800,1,27.29,1,,,,,3800,1,27.29,20.54,18.5,17.96,17.93,17.92,17.9,,
4200,1,39.7,1,,,,,4200,1,39.7,29.85,26.86,26.09,26,26,25.99,,
4500,1,46.17,1,,,,,4500,1,46.17,34.73,31.26,30.36,30.29,30.27,30.25,,
,,,,,,,,,,,,,,,,,,
size,cores,time 2,impl,,,,,,,,,,,,,,,
900,2,0.61,1,,,,,,,,,,,,,,,
1000,2,0.78,1,,,,,,,,,,,,,,,
1100,2,0.97,1,,,,,,,,,,,,,,,
1200,2,1.17,1,,,,,,,,,,,,,,,
1300,2,1.39,1,,,,,,,,,,,,,,,
1400,2,1.63,1,,,,,,,,,,,,,,,
1500,2,1.88,1,,,,,,,,,,,,,,,
1800,2,2.82,1,,,,,,,,,,,,,,,
2300,2,5.91,1,,,,,,,,,,,,,,,
2500,2,7.06,1,,,,,,,,,,,,,,,
3000,2,10.52,1,,,,,,,,,,,,,,,
3200,2,14.18,1,,,,,,,,,,,,,,,
3600,2,18.39,1,,,,,,,,,,,,,,,
3800,2,20.54,1,,,,,,,,,,,,,,,
4200,2,29.85,1,,,,,,,,,,,,,,,
4500,2,34.73,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 4,impl,,,,,,,,,,,,,,,
900,4,0.54,1,,,,,,,,,,,,,,,
1000,4,0.7,1,,,,,,,,,,,,,,,
1100,4,0.87,1,,,,,,,,,,,,,,,
1200,4,1.05,1,,,,,,,,,,,,,,,
1300,4,1.25,1,,,,,,,,,,,,,,,
1400,4,1.47,1,,,,,,,,,,,,,,,
1500,4,1.7,1,,,,,,,,,,,,,,,
1800,4,2.53,1,,,,,,,,,,,,,,,
2300,4,5.32,1,,,,,,,,,,,,,,,
2500,4,6.36,1,,,,,,,,,,,,,,,
3000,4,9.47,1,,,,,,,,,,,,,,,
3200,4,12.75,1,,,,,,,,,,,,,,,
3600,4,16.57,1,,,,,,,,,,,,,,,
3800,4,18.5,1,,,,,,,,,,,,,,,
4200,4,26.86,1,,,,,,,,,,,,,,,
4500,4,31.26,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 8,impl,,,,,,,,,,,,,,,
900,8,0.53,1,,,,,,,,,,,,,,,
1000,8,0.68,1,,,,,,,,,,,,,,,
1100,8,0.84,1,,,,,,,,,,,,,,,
1200,8,1.02,1,,,,,,,,,,,,,,,
1300,8,1.21,1,,,,,,,,,,,,,,,
1400,8,1.43,1,,,,,,,,,,,,,,,
1500,8,1.65,1,,,,,,,,,,,,,,,
1800,8,2.46,1,,,,,,,,,,,,,,,
2300,8,5.17,1,,,,,,,,,,,,,,,
2500,8,6.17,1,,,,,,,,,,,,,,,
3000,8,9.2,1,,,,,,,,,,,,,,,
3200,8,12.38,1,,,,,,,,,,,,,,,
3600,8,16.08,1,,,,,,,,,,,,,,,
3800,8,17.96,1,,,,,,,,,,,,,,,
4200,8,26.09,1,,,,,,,,,,,,,,,
4500,8,30.36,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 10,impl,,,,,,,,,,,,,,,
900,10,0.53,1,,,,,,,,,,,,,,,
1000,10,0.67,1,,,,,,,,,,,,,,,
1100,10,0.84,1,,,,,,,,,,,,,,,
1200,10,1.02,1,,,,,,,,,,,,,,,
1300,10,1.21,1,,,,,,,,,,,,,,,
1400,10,1.42,1,,,,,,,,,,,,,,,
1500,10,1.64,1,,,,,,,,,,,,,,,
1800,10,2.45,1,,,,,,,,,,,,,,,
2300,10,5.15,1,,,,,,,,,,,,,,,
2500,10,6.15,1,,,,,,,,,,,,,,,
3000,10,9.17,1,,,,,,,,,,,,,,,
3200,10,12.35,1,,,,,,,,,,,,,,,
3600,10,16.05,1,,,,,,,,,,,,,,,
3800,10,17.93,1,,,,,,,,,,,,,,,
4500,10,30.29,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 12,impl,,,,,,,,,,,,,,,
900,12,0.52,1,,,,,,,,,,,,,,,
1000,12,0.67,1,,,,,,,,,,,,,,,
1100,12,0.84,1,,,,,,,,,,,,,,,
1200,12,1.01,1,,,,,,,,,,,,,,,
1300,12,1.21,1,,,,,,,,,,,,,,,
1400,12,1.42,1,,,,,,,,,,,,,,,
1500,12,1.64,1,,,,,,,,,,,,,,,
1800,12,2.45,1,,,,,,,,,,,,,,,
2300,12,5.15,1,,,,,,,,,,,,,,,
2500,12,6.15,1,,,,,,,,,,,,,,,
3000,12,9.16,1,,,,,,,,,,,,,,,
3200,12,12.34,1,,,,,,,,,,,,,,,
3600,12,16.03,1,,,,,,,,,,,,,,,
3800,12,17.92,1,,,,,,,,,,,,,,,
4200,12,26,1,,,,,,,,,,,,,,,
4500,12,30.27,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 14,impl,,,,,,,,,,,,,,,
900,14,0.52,1,,,,,,,,,,,,,,,
1000,14,0.67,1,,,,,,,,,,,,,,,
1100,14,0.84,1,,,,,,,,,,,,,,,
1200,14,1.01,1,,,,,,,,,,,,,,,
1300,14,1.21,1,,,,,,,,,,,,,,,
1400,14,1.42,1,,,,,,,,,,,,,,,
1500,14,1.64,1,,,,,,,,,,,,,,,
1800,14,2.45,1,,,,,,,,,,,,,,,
2300,14,5.15,1,,,,,,,,,,,,,,,
2500,14,6.14,1,,,,,,,,,,,,,,,
3000,14,9.16,1,,,,,,,,,,,,,,,
3200,14,12.33,1,,,,,,,,,,,,,,,
3600,14,16.03,1,,,,,,,,,,,,,,,
3800,14,17.9,1,,,,,,,,,,,,,,,
4200,14,25.99,1,,,,,,,,,,,,,,,
4500,14,30.25,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 1,impl,,,,,size,impl,time 1,time 2,time 4,time 8,time 10,time 12,time 14,,
900,1,0.82,2,,,,,900,2,0.82,0.61,0.56,0.55,0.54,0.54,0.55,,
1000,1,1.04,2,,,,,1000,2,1.04,0.78,0.72,0.7,0.69,0.69,0.7,,
1100,1,1.29,2,,,,,1100,2,1.29,0.97,0.89,0.87,0.85,0.86,0.87,,
1200,1,1.56,2,,,,,1200,2,1.56,1.17,1.08,1.06,1.03,1.04,1.05,,
1300,1,1.85,2,,,,,1300,2,1.85,1.4,1.28,1.26,1.23,1.24,1.25,,
1400,1,2.17,2,,,,,1400,2,2.17,1.64,1.51,1.47,1.44,1.45,1.46,,
1500,1,2.51,2,,,,,1500,2,2.51,1.89,1.74,1.7,1.67,1.67,1.69,,
1800,1,3.74,2,,,,,1800,2,3.74,2.82,2.59,2.54,2.49,2.5,2.53,,
2300,1,7.86,2,,,,,2300,2,7.86,5.93,5.44,5.33,5.22,5.25,5.3,,
2500,1,9.4,2,,,,,2500,2,9.4,7.07,6.5,6.36,6.24,6.26,6.33,,
3000,1,13.98,2,,,,,3000,2,13.98,10.54,9.68,9.48,9.3,9.33,9.43,,
3200,1,18.83,2,,,,,3200,2,18.83,14.19,13.04,12.76,12.51,12.56,12.7,,
3600,1,24.45,2,,,,,3600,2,24.45,18.42,16.93,16.57,16.27,16.31,16.49,,
3800,1,27.29,2,,,,,3800,2,27.29,20.59,18.94,18.51,18.16,18.21,18.42,,
4200,1,39.75,2,,,,,4200,2,39.75,29.9,27.45,26.87,26.34,26.45,26.76,,
4500,1,46.18,2,,,,,4500,2,46.18,34.78,31.95,31.27,30.67,30.8,31.16,,
,,,,,,,,,,,,,,,,,,
size,cores,time 2,impl,,,,,,,,,,,,,,,
900,2,0.61,2,,,,,,,,,,,,,,,
1000,2,0.78,2,,,,,,,,,,,,,,,
1100,2,0.97,2,,,,,,,,,,,,,,,
1200,2,1.17,2,,,,,,,,,,,,,,,
1300,2,1.4,2,,,,,,,,,,,,,,,
1400,2,1.64,2,,,,,,,,,,,,,,,
1500,2,1.89,2,,,,,,,,,,,,,,,
1800,2,2.82,2,,,,,,,,,,,,,,,
2300,2,5.93,2,,,,,,,,,,,,,,,
2500,2,7.07,2,,,,,,,,,,,,,,,
3000,2,10.54,2,,,,,,,,,,,,,,,
3200,2,14.19,2,,,,,,,,,,,,,,,
3600,2,18.42,2,,,,,,,,,,,,,,,
3800,2,20.59,2,,,,,,,,,,,,,,,
4200,2,29.9,2,,,,,,,,,,,,,,,
4500,2,34.78,2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 4,impl,,,,,,,,,,,,,,,
900,4,0.56,2,,,,,,,,,,,,,,,
1000,4,0.72,2,,,,,,,,,,,,,,,
1100,4,0.89,2,,,,,,,,,,,,,,,
1200,4,1.08,2,,,,,,,,,,,,,,,
1300,4,1.28,2,,,,,,,,,,,,,,,
1400,4,1.51,2,,,,,,,,,,,,,,,
1500,4,1.74,2,,,,,,,,,,,,,,,
1800,4,2.59,2,,,,,,,,,,,,,,,
2300,4,5.44,2,,,,,,,,,,,,,,,
2500,4,6.5,2,,,,,,,,,,,,,,,
3000,4,9.68,2,,,,,,,,,,,,,,,
3200,4,13.04,2,,,,,,,,,,,,,,,
3600,4,16.93,2,,,,,,,,,,,,,,,
3800,4,18.94,2,,,,,,,,,,,,,,,
4200,4,27.45,2,,,,,,,,,,,,,,,
4500,4,31.95,2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 8,impl,,,,,,,,,,,,,,,
900,8,0.55,2,,,,,,,,,,,,,,,
1000,8,0.7,2,,,,,,,,,,,,,,,
1100,8,0.87,2,,,,,,,,,,,,,,,
1200,8,1.06,2,,,,,,,,,,,,,,,
1300,8,1.26,2,,,,,,,,,,,,,,,
1400,8,1.47,2,,,,,,,,,,,,,,,
1500,8,1.7,2,,,,,,,,,,,,,,,
1800,8,2.54,2,,,,,,,,,,,,,,,
2300,8,5.33,2,,,,,,,,,,,,,,,
2500,8,6.36,2,,,,,,,,,,,,,,,
3000,8,9.48,2,,,,,,,,,,,,,,,
3200,8,12.76,2,,,,,,,,,,,,,,,
3600,8,16.57,2,,,,,,,,,,,,,,,
3800,8,18.51,2,,,,,,,,,,,,,,,
4200,8,26.87,2,,,,,,,,,,,,,,,
4500,8,31.27,2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 10,impl,,,,,,,,,,,,,,,
900,10,0.54,2,,,,,,,,,,,,,,,
1000,10,0.69,2,,,,,,,,,,,,,,,
1100,10,0.85,2,,,,,,,,,,,,,,,
1200,10,1.03,2,,,,,,,,,,,,,,,
