size,cores,time 1,impl,,,,,size,impl,time 1,time 2,time 4,time 8,time 10,time 12,time 14,,
1300,10,1.23,2,,,,,,,,,,,,,,,
1400,10,1.44,2,,,,,,,,,,,,,,,
1500,10,1.67,2,,,,,,,,,,,,,,,
1800,10,2.49,2,,,,,,,,,,,,,,,
2300,10,5.22,2,,,,,,,,,,,,,,,
2500,10,6.24,2,,,,,,,,,,,,,,,
3000,10,9.3,2,,,,,,,,,,,,,,,
3200,10,12.51,2,,,,,,,,,,,,,,,
3600,10,16.27,2,,,,,,,,,,,,,,,
3800,10,18.16,2,,,,,,,,,,,,,,,
4200,10,26.34,2,,,,,,,,,,,,,,,
4500,10,30.67,2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 12,impl,,,,,,,,,,,,,,,
900,12,0.54,2,,,,,,,,,,,,,,,
1000,12,0.69,2,,,,,,,,,,,,,,,
1100,12,0.86,2,,,,,,,,,,,,,,,
1200,12,1.04,2,,,,,,,,,,,,,,,
1300,12,1.24,2,,,,,,,,,,,,,,,
1400,12,1.45,2,,,,,,,,,,,,,,,
1500,12,1.67,2,,,,,,,,,,,,,,,
1800,12,2.5,2,,,,,,,,,,,,,,,
2300,12,5.25,2,,,,,,,,,,,,,,,
2500,12,6.26,2,,,,,,,,,,,,,,,
3000,12,9.33,2,,,,,,,,,,,,,,,
3200,12,12.56,2,,,,,,,,,,,,,,,
3600,12,16.31,2,,,,,,,,,,,,,,,
3800,12,18.21,2,,,,,,,,,,,,,,,
4200,12,26.45,2,,,,,,,,,,,,,,,
4500,12,30.8,2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 14,impl,,,,,,,,,,,,,,,
900,14,0.55,2,,,,,,,,,,,,,,,
1000,14,0.7,2,,,,,,,,,,,,,,,
1100,14,0.87,2,,,,,,,,,,,,,,,
1200,14,1.05,2,,,,,,,,,,,,,,,
1300,14,1.25,2,,,,,,,,,,,,,,,
1400,14,1.46,2,,,,,,,,,,,,,,,
1500,14,1.69,2,,,,,,,,,,,,,,,
1800,14,2.53,2,,,,,,,,,,,,,,,
2300,14,5.3,2,,,,,,,,,,,,,,,
2500,14,6.33,2,,,,,,,,,,,,,,,
3000,14,9.43,2,,,,,,,,,,,,,,,
3200,14,12.7,2,,,,,,,,,,,,,,,
3600,14,16.49,2,,,,,,,,,,,,,,,
3800,14,18.42,2,,,,,,,,,,,,,,,
4200,14,26.76,2,,,,,,,,,,,,,,,
4500,14,31.16,2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 1,impl,,,size,impl,time 1,time 2,time 4,time 8,time 10,time 12,time 14,,,,
900,1,0.82,3,,,900,3,0.82,0.61,0.55,0.53,0.53,0.53,0.53,,,,
1000,1,1.04,3,,,1000,3,1.04,0.78,0.7,0.68,0.68,0.68,0.68,,,,
1100,1,1.29,3,,,1100,3,1.29,0.97,0.87,0.85,0.84,0.84,0.84,,,,
1200,1,1.56,3,,,1200,3,1.56,1.17,1.06,1.02,1.02,1.02,1.02,,,,
1300,1,1.85,3,,,1300,3,1.85,1.4,1.26,1.22,1.22,1.21,1.22,,,,
1400,1,2.17,3,,,1400,3,2.17,1.64,1.48,1.43,1.43,1.43,1.43,,,,
1500,1,2.51,3,,,1500,3,2.51,1.89,1.7,1.65,1.65,1.65,1.65,,,,
1800,1,3.75,3,,,1800,3,3.75,2.82,2.54,2.47,2.46,2.46,2.46,,,,
2300,1,7.86,3,,,2300,3,7.86,5.93,5.34,5.18,5.17,5.16,5.16,,,,
2500,1,9.4,3,,,2500,3,9.4,7.07,6.38,6.19,6.17,6.17,6.17,,,,
3000,1,13.98,3,,,3000,3,13.98,10.54,9.5,9.22,9.21,9.19,9.19,,,,
3200,1,18.83,3,,,3200,3,18.83,14.19,12.79,12.42,12.39,12.37,12.37,,,,
3600,1,24.44,3,,,3600,3,24.44,18.43,16.6,16.12,16.08,16.07,16.08,,,,
3800,1,27.28,3,,,3800,3,27.28,20.58,18.55,18.01,17.97,17.95,17.95,,,,
4200,1,39.74,3,,,4200,3,39.74,29.92,26.91,26.14,26.07,26.05,26.04,,,,
4500,1,46.2,3,,,4500,3,46.2,34.78,31.32,30.43,30.35,30.34,30.32,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 2,impl,,,,,,,,,,,,,,,
900,2,0.61,3,,,,,,,,,,,,,,,
1000,2,0.78,3,,,,,,,,,,,,,,,
1100,2,0.97,3,,,,,,,,,,,,,,,
1200,2,1.17,3,,,,,,,,,,,,,,,
1300,2,1.4,3,,,,,,,,,,,,,,,
1400,2,1.64,3,,,,,,,,,,,,,,,
1500,2,1.89,3,,,,,,,,,,,,,,,
1800,2,2.82,3,,,,,,,,,,,,,,,
2300,2,5.93,3,,,,,,,,,,,,,,,
2500,2,7.07,3,,,,,,,,,,,,,,,
3000,2,10.54,3,,,,,,,,,,,,,,,
3200,2,14.19,3,,,,,,,,,,,,,,,
3600,2,18.43,3,,,,,,,,,,,,,,,
3800,2,20.58,3,,,,,,,,,,,,,,,
4200,2,29.92,3,,,,,,,,,,,,,,,
4500,2,34.78,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 4,impl,,,,,,,,,,,,,,,
900,4,0.55,3,,,,,,,,,,,,,,,
1000,4,0.7,3,,,,,,,,,,,,,,,
1100,4,0.87,3,,,,,,,,,,,,,,,
1200,4,1.06,3,,,,,,,,,,,,,,,
1300,4,1.26,3,,,,,,,,,,,,,,,
1400,4,1.48,3,,,,,,,,,,,,,,,
1500,4,1.7,3,,,,,,,,,,,,,,,
1800,4,2.54,3,,,,,,,,,,,,,,,
2300,4,5.34,3,,,,,,,,,,,,,,,
2500,4,6.38,3,,,,,,,,,,,,,,,
3000,4,9.5,3,,,,,,,,,,,,,,,
3200,4,12.79,3,,,,,,,,,,,,,,,
3600,4,16.6,3,,,,,,,,,,,,,,,
3800,4,18.55,3,,,,,,,,,,,,,,,
4200,4,26.91,3,,,,,,,,,,,,,,,
4500,4,31.32,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 8,impl,,,,,,,,,,,,,,,
900,8,0.53,3,,,,,,,,,,,,,,,
1000,8,0.68,3,,,,,,,,,,,,,,,
1100,8,0.85,3,,,,,,,,,,,,,,,
1200,8,1.02,3,,,,,,,,,,,,,,,
1300,8,1.22,3,,,,,,,,,,,,,,,
1400,8,1.43,3,,,,,,,,,,,,,,,
1500,8,1.65,3,,,,,,,,,,,,,,,
1800,8,2.47,3,,,,,,,,,,,,,,,
2300,8,5.18,3,,,,,,,,,,,,,,,
2500,8,6.19,3,,,,,,,,,,,,,,,
3000,8,9.22,3,,,,,,,,,,,,,,,
3200,8,12.42,3,,,,,,,,,,,,,,,
3600,8,16.12,3,,,,,,,,,,,,,,,
3800,8,18.01,3,,,,,,,,,,,,,,,
4200,8,26.14,3,,,,,,,,,,,,,,,
4500,8,30.43,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 10,impl,,,,,,,,,,,,,,,
900,10,0.53,3,,,,,,,,,,,,,,,
1000,10,0.68,3,,,,,,,,,,,,,,,
1100,10,0.84,3,,,,,,,,,,,,,,,
1200,10,1.02,3,,,,,,,,,,,,,,,
1300,10,1.22,3,,,,,,,,,,,,,,,
1400,10,1.43,3,,,,,,,,,,,,,,,
1500,10,1.65,3,,,,,,,,,,,,,,,
1800,10,2.46,3,,,,,,,,,,,,,,,
2300,10,5.17,3,,,,,,,,,,,,,,,
2500,10,6.17,3,,,,,,,,,,,,,,,
3000,10,9.21,3,,,,,,,,,,,,,,,
3200,10,12.39,3,,,,,,,,,,,,,,,
3600,10,16.08,3,,,,,,,,,,,,,,,
3800,10,17.97,3,,,,,,,,,,,,,,,
4200,10,26.07,3,,,,,,,,,,,,,,,
4500,10,30.35,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 12,impl,,,,,,,,,,,,,,,
900,12,0.53,3,,,,,,,,,,,,,,,
1000,12,0.68,3,,,,,,,,,,,,,,,
1100,12,0.84,3,,,,,,,,,,,,,,,
1200,12,1.02,3,,,,,,,,,,,,,,,
1300,12,1.21,3,,,,,,,,,,,,,,,
1400,12,1.43,3,,,,,,,,,,,,,,,
1500,12,1.65,3,,,,,,,,,,,,,,,
1800,12,2.46,3,,,,,,,,,,,,,,,
2300,12,5.16,3,,,,,,,,,,,,,,,
2500,12,6.17,3,,,,,,,,,,,,,,,
3000,12,9.19,3,,,,,,,,,,,,,,,
3200,12,12.37,3,,,,,,,,,,,,,,,
3600,12,16.07,3,,,,,,,,,,,,,,,
3800,12,17.95,3,,,,,,,,,,,,,,,
4200,12,26.05,3,,,,,,,,,,,,,,,
4500,12,30.34,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 14,impl,,,,,,,,,,,,,,,
900,14,0.53,3,,,,,,,,,,,,,,,
1000,14,0.68,3,,,,,,,,,,,,,,,
1100,14,0.84,3,,,,,,,,,,,,,,,
1200,14,1.02,3,,,,,,,,,,,,,,,
1300,14,1.22,3,,,,,,,,,,,,,,,
1400,14,1.43,3,,,,,,,,,,,,,,,
1500,14,1.65,3,,,,,,,,,,,,,,,
1800,14,2.46,3,,,,,,,,,,,,,,,
2300,14,5.16,3,,,,,,,,,,,,,,,
2500,14,6.17,3,,,,,,,,,,,,,,,
3000,14,9.19,3,,,,,,,,,,,,,,,
3200,14,12.37,3,,,,,,,,,,,,,,,
3600,14,16.08,3,,,,,,,,,,,,,,,
3800,14,17.95,3,,,,,,,,,,,,,,,
4200,14,26.04,3,,,,,,,,,,,,,,,
4500,14,30.32,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
static v test:,,,,,,,,,,,,,,,,,,
5500,1,81.41,0,,5500,1,81.43,1,,5500,1,81.41,2,,5500,1,81.42,3
5500,2,61.24,0,,5500,2,61.24,1,,5500,2,61.31,2,,5500,2,61.34,3
5500,3,56.77,0,,5500,3,56.78,1,,5500,3,56.85,2,,5500,3,56.86,3
5500,4,56.28,0,,5500,4,55.13,1,,5500,4,56.35,2,,5500,4,55.2,3
5500,5,54.68,0,,5500,5,54.37,1,,5500,5,54.77,2,,5500,5,54.45,3
5500,6,54.62,0,,5500,6,53.97,1,,5500,6,54.7,2,,5500,6,54.1,3
5500,7,55.06,0,,5500,7,53.69,1,,5500,7,55.2,2,,5500,7,53.78,3
5500,8,55.1,0,,5500,8,53.53,1,,5500,8,55.2,2,,5500,8,53.65,3
5500,9,53.95,0,,5500,9,53.44,1,,5500,9,54.09,2,,5500,9,53.53,3
5500,10,54,0,,5500,10,53.39,1,,5500,10,54.07,2,,5500,10,53.51,3
5500,11,54.18,0,,5500,11,53.38,1,,5500,11,54.27,2,,5500,11,53.48,3
5500,12,54.27,0,,5500,12,53.38,1,,5500,12,54.3,2,,5500,12,53.46,3
5500,13,54.82,0,,5500,13,53.38,1,,5500,13,54.91,2,,5500,13,53.51,3
5500,14,54.83,0,,5500,14,53.36,1,,5500,14,54.91,2,,5500,14,53.46,3
,,,,,,,,,,,,,,,,,,
size, cores,time impl 0,time impl 1,time impl 2,time impl 3,,,,,,,,,,,,,
5500,1,81.41,81.43,81.41,81.42,,,,,,,,,,,,,
5500,2,61.24,61.24,61.31,61.34,,,,,,,,,,,,,
5500,3,56.77,56.78,56.85,56.86,,,,,,,,,,,,,
5500,4,56.28,55.13,56.35,55.2,,,,,,,,,,,,,
5500,5,54.68,54.37,54.77,54.45,,,,,,,,,,,,,
5500,6,54.62,53.97,54.7,54.1,,,,,,,,,,,,,
5500,7,55.06,53.69,55.2,53.78,,,,,,,,,,,,,
5500,8,55.1,53.53,55.2,53.65,,,,,,,,,,,,,
5500,9,53.95,53.44,54.09,53.53,,,,,,,,,,,,,
5500,10,54,53.39,54.07,53.51,,,,,,,,,,,,,
5500,11,54.18,53.38,54.27,53.48,,,,,,,,,,,,,
5500,12,54.27,53.38,54.3,53.46,,,,,,,,,,,,,
5500,13,54.82,53.38,54.91,53.51,,,,,,,,,,,,,
5500,14,54.83,53.36,54.91,53.46,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size, cores,time impl 0,time impl 1,time impl 2,time impl 3,Speedup 0,Speedup 1,,,,,,,,,,,
5500,1,81.41,81.43,81.41,81.42,1,1,,,,,,,,,,,
5500,2,61.24,61.24,61.31,61.34,1.32935989549314,1.32968647942521,,,,,,,,,,,
5500,3,56.77,56.78,56.85,56.86,1.43403205918619,1.43413173652695,,,,,,,,,,,
5500,4,56.28,55.13,56.35,55.2,1.44651741293532,1.4770542354435,,,,,,,,,,,
5500,5,54.68,54.37,54.77,54.45,1.48884418434528,1.49770093801729,,,,,,,,,,,
5500,6,54.62,53.97,54.7,54.1,1.49047967777371,1.50880118584399,,,,,,,,,,,
5500,7,55.06,53.69,55.2,53.78,1.47856883399927,1.51666977090706,,,,,,,,,,,
5500,8,55.1,53.53,55.2,53.65,1.47749546279492,1.5212030637026,,,,,,,,,,,
5500,9,53.95,53.44,54.09,53.53,1.50898980537535,1.52376497005988,,,,,,,,,,,
5500,10,54,53.39,54.07,53.51,1.50759259259259,1.52519198351751,,,,,,,,,,,
5500,11,54.18,53.38,54.27,53.48,1.50258397932817,1.52547770700637,,,,,,,,,,,
5500,12,54.27,53.38,54.3,53.46,1.50009213193293,1.52547770700637,,,,,,,,,,,
5500,13,54.82,53.38,54.91,53.51,1.4850419554907,1.52547770700637,,,,,,,,,,,
5500,14,54.83,53.36,54.91,53.46,1.48477111070582,1.52604947526237,,,,,,,,,,,
static threads test,,,,,,,,,,,,,,,,,,
900,1,173.67,0,900,,,,,,,,,,,,,,
900,1,93.96,0,900,,,,,,,,,,,,,,
900,1,68.02,0,900,,,,,,,,,,,,,,
900,1,54.73,0,900,,,,,,,,,,,,,,
900,1,44,0,900,,,,,,,,,,,,,,
900,1,36.8,0,900,,,,,,,,,,,,,,
900,1,31.46,0,900,,,,,,,,,,,,,,
900,1,27.63,0,900,,,,,,,,,,,,,,
900,1,24.71,0,900,,,,,,,,,,,,,,
900,1,22.28,0,900,,,,,,,,,,,,,,
900,1,15.04,0,900,,,,,,,,,,,,,,
900,1,11.37,0,900,,,,,,,,,,,,,,
900,1,10.11,0,900,,,,,,,,,,,,,,
900,1,8.9,0,900,,,,,,,,,,,,,,
900,1,6.28,0,900,,,,,,,,,,,,,,
900,1,5.48,0,900,,,,,,,,,,,,,,
900,1,4.6,0,900,,,,,,,,,,,,,,
900,1,3.09,0,900,,,,,,,,,,,,,,
900,1,2.9,0,900,,,,,,,,,,,,,,
900,1,2.11,0,900,,,,,,,,,,,,,,
900,1,1.52,0,900,,,,,,,,,,,,,,
900,1,1.33,0,900,,,,,,,,,,,,,,
900,1,1.28,0,900,,,,,,,,,,,,,,
900,1,0.96,0,900,,,,,,,,,,,,,,
900,1,0.79,0,900,,,,,,,,,,,,,,
900,1,0.83,0,900,,,,,,,,,,,,,,
900,1,0.82,0,900,,,,,,,,,,,,,,
900,1,0.62,0,900,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
900,1,0.96,0,400,,,,,,,,,,,,,,
900,1,1.01,0,450,,,,,,,,,,,,,,
900,1,0.79,0,500,,,,,,,,,,,,,,
900,1,0.81,0,600,,,,,,,,,,,,,,
900,1,0.82,0,650,,,,,,,,,,,,,,
900,1,0.83,0,700,,,,,,,,,,,,,,
900,1,0.85,0,750,,,,,,,,,,,,,,
900,1,0.81,0,800,,,,,,,,,,,,,,
900,1,0.84,0,850,,,,,,,,,,,,,,
900,1,0.82,0,900,,,,,,,,,,,,,,
900,1,0.62,0,950,,,,,,,,,,,,,,
900,1,0.62,0,1000,,,,,,,,,,,,,,
900,1,0.62,0,1024,,,,,,,,,,,,,,own sys
,,,,,,,,,,,,,,,,,,
own sys cpu,,,,,,,,,,,,,,,,,,
size,cores,time ,impl,,,,,,,,,,,,,,,
300,-1,0.01,0,,,,,,,,,,,,,,,
350,-1,0.01,0,,,,,,,,,,,,,,,
400,-1,0.02,0,,,,,,,,,,,,,,,
450,-1,0.02,0,,,,,,,,,,,,,,,
500,-1,0.03,0,,,,,,,,,,,,,,,
600,-1,0.05,0,,,,,,,,,,,,,,,
700,-1,0.08,0,,,,,,,,,,,,,,,
800,-1,0.14,0,,,,,,,,,,,,,,,
900,-1,0.19,0,,,,,,,,,,,,,,,
1000,-1,0.29,0,,,,,,,,,,,,,,,
1100,-1,0.41,0,,,,,,,,,,,,,,,
1200,-1,0.57,0,,,,,,,,,,,,,,,
1400,-1,1.01,0,,,,,,,,,,,,,,,
1500,-1,1.29,0,,,,,,,,,,,,,,,
1600,-1,1.66,0,,,,,,,,,,,,,,,
1800,-1,2.48,0,,,,,,,,,,,,,,,
1900,-1,2.91,0,,,,,,,,,,,,,,,
2000,-1,3.46,0,,,,,,,,,,,,,,,
2200,-1,4.69,0,,,,,,,,,,,,,,,
2400,-1,6.18,0,,,,,,,,,,,,,,,
2600,-1,7.91,0,,,,,,,,,,,,,,,
2800,-1,9.96,0,,,,,,,,,,,,,,,
3000,-1,12.29,0,,,,,,,,,,,,,,,
3200,-1,14.84,0,,,,,,,,,,,,,,,
3600,-1,21.26,0,,,,,,,,,,,,,,,
3800,-1,25.11,0,,,,,,,,,,,,,,,
4000,-1,29.72,0,,,,,,,,,,,,,,,
4200,-1,34.06,0,,,,,,,,,,,,,,,
4500,-1,41.86,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
own sys,,,,,,,,,,,,,,,,,,
static v test:,,,,,,,,,,,,,,,,,,
5500,1,50.85,0,,,,,,,,,,,,,,,
5500,2,38.67,0,,,,,,,,,,,,,,,
5500,3,35.99,0,,,,,,,,,,,,,,,
5500,4,35.64,0,,,,,,,,,,,,,,,
5500,5,34.71,0,,,,,,,,,,,,,,,
5500,6,34.66,0,,,,,,,,,,,,,,,
5500,7,34.96,0,,,,,,,,,,,,,,,
5500,8,34.96,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
5500,1,50.84,1,,,,,,,,,,,,,,,
5500,2,38.69,1,,,,,,,,,,,,,,,
5500,3,36,1,,,,,,,,,,,,,,,
5500,4,35,1,,,,,,,,,,,,,,,
5500,5,34.53,1,,,,,,,,,,,,,,,
5500,6,34.29,1,,,,,,,,,,,,,,,
5500,7,34.14,1,,,,,,,,,,,,,,,
5500,8,34.04,1,,,,,,,,,,,,,,,
